"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U300","ALC5616-CGT","Top","QFN-32-4x4","-16.6000","7.6000","0","Ultra-Low Power Audio CODEC"
"R303","10k","Top","RES_0402","-22.8000","11.4000","90","Resistor SMD 0402"
"R302","49R9","Top","RES_0402","-13.0000","9.8000","180","Resistor SMD 0402"
"R301","49R9","Top","RES_0402","-27.6000","8.0000","0","Resistor SMD 0402"
"R300","49R9","Top","RES_0402","-21.8000","7.2000","90","Resistor SMD 0402"
"FB300","100R","Top","FB_0603","-20.7000","12.7000","90","Ferrite Bead SMD 0603"
"C315","2u2","Top","CAP_0402","-13.2000","4.9000","90","Capacitor SMD 0402 16V"
"C314","2u2","Top","CAP_0402","-13.0000","6.7000","180","Capacitor SMD 0402 16V"
"C313","4u7","Top","CAP_0402","-20.3000","4.7000","0","Capacitor SMD 0402 16V"
"C312","4u7","Top","CAP_0402","-29.1000","7.5000","90","Capacitor SMD 0402 16V"
"C311","2u2","Top","CAP_0402","-17.6000","2.8000","0","Capacitor SMD 0402 16V"
"C310","2u2","Top","CAP_0402","-15.7000","2.8000","0","Capacitor SMD 0402 16V"
"C309","4u7","Top","CAP_0402","-13.6000","3.4000","180","Capacitor SMD 0402 16V"
"C308","100n","Top","CAP_0402","-14.6000","4.4000","180","Capacitor SMD 0402 16V"
"C307","4u7","Top","CAP_0402","-20.8000","6.2000","90","Capacitor SMD 0402 16V"
"C306","100n","Top","CAP_0402","-19.8000","6.2000","90","Capacitor SMD 0402 16V"
"C305","2u2","Top","CAP_0402","-17.5000","11.4000","270","Capacitor SMD 0402 16V"
"C304","4u7","Top","CAP_0402","-20.8000","8.2000","270","Capacitor SMD 0402 16V"
"C303","2u2","Top","CAP_0402","-15.5000","12.4000","270","Capacitor SMD 0402 16V"
"C302","100n","Top","CAP_0402","-16.5000","11.4000","270","Capacitor SMD 0402 16V"
"C301","100n","Top","CAP_0402","-18.5000","11.4000","270","Capacitor SMD 0402 16V"
"C300","4u7","Top","CAP_0402","-19.5000","12.4000","270","Capacitor SMD 0402 16V"
"R100","1k","Top","RES_0402","-16.2000","-8.1000","0","Resistor SMD 0402"
"D100","GREEN","Top","LED_0402_GREEN","-13.9000","-8.1000","180","LED 0402 GREEN SMD"
"Y200","16MHz","Top","XTAL_3225","-14.7000","-3.7500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U200","STM32H743VIT6","Top","FP-LQFP100-1L-MFG","0.0000","0.0000","270","IC MCU 32BIT 2MB FLASH 100LQFP"
"U101","SE5218DLG-LF-1.8V","Top","FP-SOT23-5LD-PL-1-IPC_A","-15.5000","-11.7500","0","IC REG LINEAR 3.3V 500MA SOT23-5"
"U100","MIC5219-3.3YM5-TR","Top","FP-SOT23-5LD-PL-1-IPC_A","13.2500","-11.7500","180","IC REG LINEAR 3.3V 500MA SOT23-5"
"R217","1M","Top","RES_0402","9.2500","-2.7500","90","Resistor SMD 0402"
"R216","49R9","Top","RES_0402","3.2000","11.2000","270","Resistor SMD 0402"
"R215","10k","Top","RES_0402","5.3000","11.2000","90","Resistor SMD 0402"
"R214","10k","Top","RES_0402","7.3000","11.2000","90","Resistor SMD 0402"
"R213","10k","Top","RES_0402","10.0000","1.2500","0","Resistor SMD 0402"
"R212","10k","Top","RES_0402","10.0000","-0.2500","0","Resistor SMD 0402"
"R211","10k","Top","RES_0402","1.2000","11.2000","90","Resistor SMD 0402"
"R210","49R9","Top","RES_0402","10.2500","13.2500","0","Resistor SMD 0402"
"R209","49R9","Top","RES_0402","10.2500","10.7500","0","Resistor SMD 0402"
"R208","49R9","Top","RES_0402","10.2500","8.7500","0","Resistor SMD 0402"
"R207","49R9","Top","RES_0402","10.7500","6.2500","90","Resistor SMD 0402"
"R206","10k","Top","RES_0402","-2.0000","9.2500","180","Resistor SMD 0402"
"R205","49R9","Top","RES_0402","-11.7000","-1.2500","0","Resistor SMD 0402"
"R204","2k2","Top","RES_0402","5.7500","-11.2500","0","Resistor SMD 0402"
"R203","2k2","Top","RES_0402","2.5000","-11.2500","180","Resistor SMD 0402"
"R202","2k2","Top","RES_0402","-4.5000","12.2500","180","Resistor SMD 0402"
"R201","2k2","Top","RES_0402","-2.0000","12.2500","0","Resistor SMD 0402"
"R200","1k","Top","RES_0402","0.2500","-11.3000","180","Resistor SMD 0402"
"J201","DM3CS-SF","Top","FP-DM3CS-SF-MFG","18.9500","0.0750","180","CONN MICRO SD CARD HINGED TYPE"
"FB400","100R","Top","FB_0603","-21.1000","-12.0000","90","Ferrite Bead SMD 0603"
"FB201","100R","Top","FB_0603","18.7500","-8.2500","180","Ferrite Bead SMD 0603"
"FB200","100R","Top","FB_0603","-10.5000","-4.5000","90","Ferrite Bead SMD 0603"
"FB100","100R","Top","FB_0603","-10.2500","-12.7500","180","Ferrite Bead SMD 0603"
"D400","RCLAMP0521P-N","Top","D_0402","-22.1000","-8.1000","0","Diode TVS / ESD 0402"
"D206","RCLAMP0521P-N","Top","D_0402","27.4000","-1.2000","90","Diode TVS / ESD 0402"
"D205","RCLAMP0521P-N","Top","D_0402","22.5000","12.7500","90","Diode TVS / ESD 0402"
"D204","RCLAMP0521P-N","Top","D_0402","13.0000","12.7500","90","Diode TVS / ESD 0402"
"D203","RCLAMP0521P-N","Top","D_0402","13.0000","10.2500","90","Diode TVS / ESD 0402"
"D202","RCLAMP0521P-N","Top","D_0402","16.0000","9.0000","0","Diode TVS / ESD 0402"
"D201","RCLAMP0521P-N","Top","D_0402","19.5000","9.0000","180","Diode TVS / ESD 0402"
"D200","YELLOW","Top","LED_0402_YELLOW","-2.0000","-11.3000","0","LED 0402 YELLOW SMD"
"C401","2u2","Top","CAP_0603","-22.0000","-9.7000","0","Capacitor SMD 0603 16V"
"C400","2u2","Top","CAP_0603","-22.8000","-12.0000","270","Capacitor SMD 0603 16V"
"C217","2u2","Top","CAP_0603","16.2500","-9.0000","90","Capacitor SMD 0603 16V"
"C216","2u2","Top","CAP_0603","28.7000","1.7000","270","Capacitor SMD 0603 16V"
"C215","100n","Top","CAP_0402","27.4000","1.4000","270","Capacitor SMD 0402 16V"
"C214","100n","Top","CAP_0402","-9.2500","-1.2500","90","Capacitor SMD 0402 16V"
"C213","2u2","Top","CAP_0402","6.0000","-9.2500","180","Capacitor SMD 0402 16V"
"C212","2u2","Top","CAP_0402","9.2500","6.0000","270","Capacitor SMD 0402 16V"
"C211","100n","Top","CAP_0402","-9.2500","-5.2500","90","Capacitor SMD 0402 16V"
"C210","100n","Top","CAP_0402","-9.2500","-3.2500","270","Capacitor SMD 0402 16V"
"C209","100n","Top","CAP_0402","-11.7500","-4.7500","270","Capacitor SMD 0402 16V"
"C208","100n","Top","CAP_0402","-5.7500","9.2500","180","Capacitor SMD 0402 16V"
"C207","100n","Top","CAP_0402","7.7500","7.2500","270","Capacitor SMD 0402 16V"
"C206","100n","Top","CAP_0402","7.2500","-7.7500","180","Capacitor SMD 0402 16V"
"C205","100n","Top","CAP_0402","-5.7500","-9.2500","0","Capacitor SMD 0402 16V"
"C204","100n","Top","CAP_0402","-9.7500","1.2500","0","Capacitor SMD 0402 16V"
"C203","100n","Top","CAP_0402","-9.7500","3.0000","0","Capacitor SMD 0402 16V"
"C202","2u2","Top","CAP_0603","-5.7500","10.5000","180","Capacitor SMD 0603 16V"
"C201","10p","Top","CAP_0402","-13.7000","-1.2500","0","Capacitor SMD 0402 16V"
"C200","10p","Top","CAP_0402","-15.7000","-1.2500","180","Capacitor SMD 0402 16V"
"C106","2u2","Top","CAP_0603","-18.5000","-12.0000","270","Capacitor SMD 0603 16V"
"C104","2u2","Top","CAP_0603","-12.5000","-12.0000","270","Capacitor SMD 0603 16V"
"C103","2u2","Top","CAP_0603","-10.2500","-11.2500","0","Capacitor SMD 0603 16V"
"C102","2u2","Top","CAP_0603","10.2500","-12.0000","270","Capacitor SMD 0603 16V"
"C101","470p","Top","CAP_0402","11.5000","-9.2500","0","Capacitor SMD 0402 16V"
"C100","2u2","Top","CAP_0603","16.2500","-12.0000","270","Capacitor SMD 0603 16V"
